cpu_percent,memory_percent,cmdline_length,network_connections_count,suspicious_keyword_count,label
32.0,24.2,113,2,0,BENIGN
4.26,26.73,12,2,0,BENIGN
64.16,18.59,93,2,0,BENIGN
7.45,19.92,128,9,0,BENIGN
94.4,23.08,264,1,3,MALICIOUS
34.8,9.19,86,2,0,BENIGN
24.69,21.83,95,3,0,BENIGN
57.94,13.98,121,4,3,MALICIOUS
13.92,15.27,120,0,0,BENIGN
10.06,5.95,30,1,0,BENIGN
95.04,15.45,279,4,2,MALICIOUS
75.48,4.99,222,7,3,MALICIOUS
97.06,37.65,109,8,2,MALICIOUS
84.58,36.44,132,7,1,MALICIOUS
33.93,27.88,61,4,0,BENIGN
0.69,6.14,73,1,0,BENIGN
90.84,11.72,73,4,4,MALICIOUS
6.08,8.63,76,2,0,BENIGN
75.81,19.51,251,6,4,MALICIOUS
3.74,17.51,139,0,0,BENIGN
3.44,1.42,31,3,0,BENIGN
4.54,1.71,118,1,0,BENIGN
55.15,16.26,251,14,0,BENIGN
5.58,16.09,107,2,0,BENIGN
1.55,23.11,124,0,0,BENIGN
0.45,4.9,33,3,0,BENIGN
88.66,30.49,289,7,1,MALICIOUS
0.67,20.9,80,0,0,BENIGN
1.58,12.96,11,0,0,BENIGN
94.75,24.26,174,4,2,MALICIOUS
83.22,29.88,244,1,1,MALICIOUS
77.79,17.91,32,0,0,BENIGN
8.48,14.55,30,0,0,BENIGN
6.82,17.56,80,2,0,BENIGN
1.74,28.02,80,0,0,BENIGN
32.13,14.64,32,0,0,BENIGN
96.6,21.52,199,5,1,MALICIOUS
99.76,42.02,80,8,3,MALICIOUS
87.84,35.66,229,4,2,MALICIOUS
3.88,18.32,107,4,0,BENIGN
2.24,13.12,105,2,0,BENIGN
23.89,15.13,116,0,0,BENIGN
78.35,17.82,228,5,3,MALICIOUS
29.64,29.43,136,2,0,BENIGN
22.29,12.81,134,2,0,BENIGN
0.67,2.31,50,0,0,BENIGN
85.56,13.44,81,8,3,MALICIOUS
10.27,29.53,64,2,0,BENIGN
27.91,14.13,122,1,0,BENIGN
63.39,29.28,83,5,0,BENIGN
1.55,12.07,131,0,0,BENIGN
63.29,14.53,114,0,0,BENIGN
3.37,16.14,26,1,0,BENIGN
74.49,16.66,235,5,3,MALICIOUS
21.68,27.97,36,2,0,BENIGN
98.02,16.51,205,4,2,MALICIOUS
1.26,18.69,123,3,0,BENIGN
99.29,33.02,199,4,3,MALICIOUS
14.42,5.32,43,3,0,BENIGN
93.05,26.84,137,2,1,MALICIOUS
91.41,36.12,313,7,4,MALICIOUS
96.17,25.35,71,5,4,MALICIOUS
82.04,28.21,112,3,1,MALICIOUS
94.96,48.38,230,2,1,MALICIOUS
24.79,9.19,140,0,0,BENIGN
55.39,20.77,65,0,0,BENIGN
17.41,1.97,80,2,0,BENIGN
81.51,23.08,80,6,3,MALICIOUS
79.48,44.26,144,7,1,MALICIOUS
89.22,25.41,74,0,0,BENIGN
96.42,33.64,259,7,3,MALICIOUS
15.88,10.0,168,8,0,BENIGN
3.6,8.89,28,1,0,BENIGN
2.49,15.06,11,4,0,BENIGN
34.51,29.51,81,0,0,BENIGN
30.87,10.42,31,2,0,BENIGN
86.66,33.12,130,4,2,MALICIOUS
30.51,22.02,87,10,0,BENIGN
83.09,10.76,311,3,4,MALICIOUS
2.15,20.61,32,0,0,BENIGN
14.18,10.28,129,2,0,BENIGN
4.3,17.14,103,0,0,BENIGN
94.5,47.4,171,2,1,MALICIOUS
72.7,20.02,151,5,1,MALICIOUS
96.76,36.9,248,3,1,MALICIOUS
39.75,19.23,227,3,3,MALICIOUS
31.22,34.59,140,4,0,BENIGN
77.23,11.16,79,3,4,MALICIOUS
19.47,10.47,31,2,0,BENIGN
84.39,29.32,232,5,2,MALICIOUS
70.04,34.59,136,5,3,MALICIOUS
1.42,18.87,43,0,0,BENIGN
3.37,24.67,29,0,0,BENIGN
29.3,2.94,94,0,0,BENIGN
3.3,27.08,10,4,0,BENIGN
94.74,32.08,214,5,3,MALICIOUS
30.38,25.25,56,0,0,BENIGN
93.34,24.48,60,5,0,BENIGN
15.73,9.21,138,0,0,BENIGN
1.2,28.97,130,2,0,BENIGN
28.22,17.84,42,3,0,BENIGN
54.4,22.18,90,2,2,MALICIOUS
23.86,32.72,148,5,0,BENIGN
52.42,38.94,215,3,0,BENIGN
72.3,5.23,118,3,3,MALICIOUS
96.35,33.88,200,4,1,MALICIOUS
2.26,6.44,53,0,0,BENIGN
1.56,26.79,123,0,0,BENIGN
89.93,38.11,162,8,4,MALICIOUS
17.43,19.07,92,2,0,BENIGN
3.32,19.31,48,1,0,BENIGN
18.72,32.29,198,8,0,BENIGN
1.29,11.74,17,3,0,BENIGN
6.57,9.53,110,4,0,BENIGN
73.13,6.29,86,5,4,MALICIOUS
92.99,8.43,188,8,4,MALICIOUS
88.93,19.77,202,2,3,MALICIOUS
77.61,41.37,273,3,3,MALICIOUS
16.46,4.99,50,0,0,BENIGN
85.25,26.82,153,6,3,MALICIOUS
85.14,19.62,262,6,2,MALICIOUS
2.55,20.45,94,1,0,BENIGN
73.02,33.18,270,2,1,MALICIOUS
63.49,53.49,59,4,0,BENIGN
80.74,25.62,280,6,2,MALICIOUS
96.66,7.01,308,1,4,MALICIOUS
1.78,20.17,28,2,0,BENIGN
4.98,16.36,26,2,0,BENIGN
7.81,5.28,26,0,0,BENIGN
89.35,39.5,72,5,1,MALICIOUS
26.84,2.55,56,0,0,BENIGN
89.18,22.46,78,5,4,MALICIOUS
62.14,26.87,146,2,2,MALICIOUS
12.98,13.73,30,2,0,BENIGN
1.74,7.71,129,0,0,BENIGN
6.01,26.69,84,3,0,BENIGN
85.56,11.34,251,8,4,MALICIOUS
70.58,5.15,67,6,2,MALICIOUS
93.1,26.04,105,1,0,BENIGN
0.73,16.03,56,0,0,BENIGN
73.81,31.04,219,1,3,MALICIOUS
4.04,10.05,127,2,0,BENIGN
16.28,3.37,52,0,0,BENIGN
3.9,4.2,130,3,0,BENIGN
2.68,3.4,134,0,0,BENIGN
96.72,17.65,76,5,4,MALICIOUS
0.04,19.71,90,0,0,BENIGN
87.03,40.96,196,1,4,MALICIOUS
90.86,38.3,112,7,3,MALICIOUS
88.95,31.42,208,3,4,MALICIOUS
0.81,28.06,67,0,0,BENIGN
4.09,12.61,40,2,0,BENIGN
3.48,3.08,98,4,0,BENIGN
25.04,10.74,114,2,0,BENIGN
3.26,17.51,61,3,0,BENIGN
0.88,11.83,35,0,0,BENIGN
0.62,12.75,24,0,0,BENIGN
99.41,31.54,235,6,4,MALICIOUS
2.99,17.55,139,4,0,BENIGN
89.9,35.73,106,0,0,BENIGN
1.57,6.71,78,0,0,BENIGN
78.29,12.53,189,4,1,MALICIOUS
22.65,10.57,127,3,0,BENIGN
98.99,26.2,127,8,3,MALICIOUS
79.44,44.12,315,5,3,MALICIOUS
6.47,18.55,182,12,0,BENIGN
79.53,21.38,186,5,2,MALICIOUS
11.69,29.7,171,12,0,BENIGN
46.27,20.01,155,9,0,BENIGN
98.14,23.95,83,5,4,MALICIOUS
1.89,10.78,101,0,0,BENIGN
0.9,28.76,14,3,0,BENIGN
1.33,23.61,83,2,0,BENIGN
4.68,11.2,134,0,0,BENIGN
2.98,26.43,12,0,0,BENIGN
25.68,18.62,120,2,0,BENIGN
4.73,9.27,136,0,0,BENIGN
3.95,18.62,23,0,0,BENIGN
63.87,20.59,198,4,3,MALICIOUS
82.45,11.46,253,4,1,MALICIOUS
32.51,7.57,72,4,2,MALICIOUS
92.67,29.41,90,3,3,MALICIOUS
5.34,6.18,87,2,0,BENIGN
97.75,10.4,319,6,3,MALICIOUS
24.57,17.91,86,0,0,BENIGN
32.1,23.32,68,3,0,BENIGN
2.0,8.27,38,0,0,BENIGN
91.36,16.22,110,6,2,MALICIOUS
81.14,11.91,64,4,1,MALICIOUS
20.23,22.06,14,3,0,BENIGN
40.68,17.29,219,15,0,BENIGN
24.1,14.04,87,1,0,BENIGN
74.51,22.39,143,5,1,MALICIOUS
62.76,24.86,112,0,0,BENIGN
75.35,14.73,111,1,2,MALICIOUS
70.71,12.54,258,7,3,MALICIOUS
59.32,11.39,132,2,0,BENIGN
73.46,10.12,302,8,2,MALICIOUS
83.33,28.53,84,7,2,MALICIOUS
28.23,25.98,118,2,0,BENIGN
42.33,0.76,29,4,0,BENIGN
69.66,17.81,126,4,0,BENIGN
96.97,35.25,283,3,4,MALICIOUS
0.48,29.15,11,2,0,BENIGN
74.42,42.04,292,3,4,MALICIOUS
18.94,11.58,116,3,0,BENIGN
6.5,10.46,107,3,0,BENIGN
21.28,2.0,27,4,0,BENIGN
26.31,12.65,39,0,0,BENIGN
6.94,6.68,45,1,0,BENIGN
9.41,13.67,22,2,0,BENIGN
99.22,44.76,260,7,2,MALICIOUS
37.82,17.63,90,8,0,BENIGN
5.73,6.57,94,1,0,BENIGN
84.27,21.96,121,4,3,MALICIOUS
40.01,1.23,82,0,0,BENIGN
55.1,10.13,176,3,1,MALICIOUS
76.75,8.62,71,2,4,MALICIOUS
81.62,34.71,218,3,4,MALICIOUS
82.74,25.08,268,2,3,MALICIOUS
0.95,13.29,23,1,0,BENIGN
95.07,13.2,117,3,4,MALICIOUS
23.65,19.54,69,3,0,BENIGN
7.03,15.18,31,3,0,BENIGN
9.26,11.6,103,3,0,BENIGN
1.37,12.6,28,2,0,BENIGN
51.22,11.45,198,3,3,MALICIOUS
3.98,3.58,75,0,0,BENIGN
64.62,28.58,103,2,0,BENIGN
79.89,37.13,198,1,3,MALICIOUS
30.64,25.73,75,3,0,BENIGN
57.6,15.95,302,1,3,MALICIOUS
78.83,10.49,245,3,1,MALICIOUS
0.03,9.39,102,1,0,BENIGN
8.5,13.01,82,4,0,BENIGN
91.49,27.71,232,5,1,MALICIOUS
87.05,24.11,300,8,2,MALICIOUS
77.04,21.41,315,5,3,MALICIOUS
37.64,23.65,157,3,0,BENIGN
8.0,26.59,60,4,0,BENIGN
4.52,1.7,108,0,0,BENIGN
76.48,17.84,183,3,1,MALICIOUS
32.11,1.57,24,0,0,BENIGN
52.08,14.04,139,3,3,MALICIOUS
1.26,25.58,48,0,0,BENIGN
19.66,9.03,59,0,0,BENIGN
91.1,26.84,80,2,3,MALICIOUS
50.25,40.54,140,4,0,BENIGN
82.07,29.31,270,4,1,MALICIOUS
81.72,33.47,124,5,2,MALICIOUS
0.45,9.37,115,0,0,BENIGN
3.99,16.46,46,0,0,BENIGN
86.79,34.42,205,2,0,BENIGN
88.12,17.41,215,2,1,MALICIOUS
16.75,11.48,77,0,0,BENIGN
59.22,32.7,82,0,0,BENIGN
79.97,41.87,179,1,2,MALICIOUS
92.54,32.62,166,2,3,MALICIOUS
83.9,8.82,19,3,0,BENIGN
76.06,23.0,93,10,0,BENIGN
31.04,26.43,115,0,0,BENIGN
94.9,34.23,180,7,2,MALICIOUS
46.42,10.75,221,3,3,MALICIOUS
91.41,21.02,185,3,4,MALICIOUS
80.19,30.52,81,3,4,MALICIOUS
14.31,19.8,76,0,0,BENIGN
78.58,36.18,131,7,2,MALICIOUS
14.08,9.42,114,0,0,BENIGN
82.03,37.87,63,6,1,MALICIOUS
52.1,34.15,96,8,0,BENIGN
0.4,19.9,88,0,0,BENIGN
2.19,16.39,87,1,0,BENIGN
97.46,36.68,123,3,1,MALICIOUS
86.57,16.68,245,2,2,MALICIOUS
21.7,3.87,11,0,0,BENIGN
12.73,18.95,29,3,0,BENIGN
0.53,9.28,111,0,0,BENIGN
0.03,2.56,75,0,0,BENIGN
74.72,23.05,235,5,2,MALICIOUS
75.16,26.08,79,8,4,MALICIOUS
97.95,33.79,90,4,3,MALICIOUS
94.17,19.48,127,2,2,MALICIOUS
24.94,12.66,35,0,0,BENIGN
22.56,21.66,85,0,0,BENIGN
24.02,29.04,72,0,0,BENIGN
29.16,23.92,42,2,0,BENIGN
73.16,38.75,281,7,4,MALICIOUS
17.62,5.03,61,2,0,BENIGN
94.81,16.84,218,0,0,BENIGN
75.13,28.15,219,1,3,MALICIOUS
83.76,12.05,119,4,0,BENIGN
70.3,30.96,209,7,0,BENIGN
26.03,17.52,88,7,0,BENIGN
93.72,49.33,40,3,0,BENIGN
11.44,3.4,65,2,0,BENIGN
83.88,13.86,213,7,4,MALICIOUS
52.71,25.48,141,4,3,MALICIOUS
28.57,15.45,88,2,0,BENIGN
72.66,32.9,122,4,0,BENIGN
84.41,13.54,200,1,3,MALICIOUS
87.25,11.91,198,2,3,MALICIOUS
7.32,24.58,22,4,0,BENIGN
93.56,9.66,279,7,4,MALICIOUS
93.06,31.03,201,1,2,MALICIOUS
20.21,17.27,48,0,0,BENIGN
0.84,2.09,52,2,0,BENIGN
1.47,20.97,58,0,0,BENIGN
0.95,7.67,45,1,0,BENIGN
97.3,33.33,112,1,1,MALICIOUS
62.19,49.94,143,5,0,BENIGN
25.69,3.94,30,3,0,BENIGN
51.82,25.06,145,0,0,BENIGN
33.07,19.05,61,0,0,BENIGN
98.86,20.52,269,6,3,MALICIOUS
2.86,9.16,24,2,0,BENIGN
33.65,12.02,93,0,0,BENIGN
98.64,41.6,160,3,3,MALICIOUS
30.65,10.33,139,0,0,BENIGN
71.69,10.09,177,3,1,MALICIOUS
89.87,16.85,272,7,3,MALICIOUS
0.48,4.64,59,3,0,BENIGN
79.74,17.32,256,5,2,MALICIOUS
71.98,26.16,217,8,4,MALICIOUS
79.56,45.41,171,4,0,BENIGN
80.31,27.79,272,2,4,MALICIOUS
22.07,32.0,146,6,0,BENIGN
88.72,42.31,262,7,1,MALICIOUS
4.94,23.65,62,0,0,BENIGN
87.62,8.43,66,2,2,MALICIOUS
1.17,12.13,71,4,0,BENIGN
0.47,8.61,101,3,0,BENIGN
86.46,34.76,153,6,4,MALICIOUS
0.49,6.82,66,0,0,BENIGN
73.31,36.52,90,8,1,MALICIOUS
1.53,13.35,31,0,0,BENIGN
73.39,19.15,208,1,2,MALICIOUS
24.99,23.71,93,0,0,BENIGN
83.51,26.9,251,3,2,MALICIOUS
1.62,29.11,113,1,0,BENIGN
1.9,16.67,24,2,0,BENIGN
9.3,4.94,47,4,0,BENIGN
33.48,2.74,73,0,0,BENIGN
3.25,2.3,28,2,0,BENIGN
4.0,13.22,112,4,0,BENIGN
81.22,44.4,185,7,4,MALICIOUS
81.56,32.26,306,2,3,MALICIOUS
3.53,16.92,38,0,0,BENIGN
7.27,27.86,37,0,0,BENIGN
84.88,23.72,161,1,2,MALICIOUS
95.81,44.46,319,4,4,MALICIOUS
64.99,20.05,226,7,0,BENIGN
84.11,10.71,299,7,1,MALICIOUS
7.95,10.11,50,0,0,BENIGN
44.0,27.42,126,3,2,MALICIOUS
16.2,9.6,80,0,0,BENIGN
1.36,2.43,61,0,0,BENIGN
98.43,19.63,185,3,4,MALICIOUS
3.01,24.55,68,0,0,BENIGN
42.92,31.44,189,1,2,MALICIOUS
77.76,40.77,158,5,3,MALICIOUS
30.21,8.46,134,3,0,BENIGN
83.55,39.81,128,5,2,MALICIOUS
27.0,11.57,83,2,0,BENIGN
97.87,29.96,261,2,3,MALICIOUS
4.29,1.62,35,1,0,BENIGN
88.78,32.86,60,2,4,MALICIOUS
10.89,22.14,89,2,0,BENIGN
74.96,24.9,49,0,0,BENIGN
30.3,23.32,68,3,0,BENIGN
4.49,5.16,14,0,0,BENIGN
7.33,2.86,65,1,0,BENIGN
69.89,51.99,186,6,0,BENIGN
68.35,28.63,88,2,3,MALICIOUS
5.91,6.5,44,1,0,BENIGN
85.39,30.72,243,5,2,MALICIOUS
32.41,24.95,75,4,0,BENIGN
75.74,23.5,299,6,3,MALICIOUS
1.61,3.32,51,0,0,BENIGN
92.62,15.08,106,4,0,BENIGN
74.91,33.77,300,6,4,MALICIOUS
17.1,1.4,19,0,0,BENIGN
4.71,4.79,96,1,0,BENIGN
72.46,20.23,90,0,0,BENIGN
15.68,25.36,79,0,0,BENIGN
84.22,15.88,135,8,3,MALICIOUS
5.1,14.38,105,3,0,BENIGN
15.33,20.89,54,1,0,BENIGN
99.32,31.8,311,5,4,MALICIOUS
10.4,27.07,19,1,0,BENIGN
97.47,25.83,221,1,4,MALICIOUS
83.91,15.93,92,2,4,MALICIOUS
75.9,7.35,72,4,4,MALICIOUS
86.14,33.24,245,3,3,MALICIOUS
2.04,6.9,39,0,0,BENIGN
20.34,14.8,86,0,0,BENIGN
52.05,18.07,218,4,1,MALICIOUS
90.13,48.2,234,1,1,MALICIOUS
6.98,10.46,30,2,0,BENIGN
2.04,3.37,28,0,0,BENIGN
66.55,9.0,31,0,0,BENIGN
83.09,48.86,312,3,4,MALICIOUS
24.4,4.06,132,0,0,BENIGN
60.29,20.71,234,2,3,MALICIOUS
1.4,14.47,33,2,0,BENIGN
76.2,14.27,251,6,4,MALICIOUS
89.97,42.96,308,5,2,MALICIOUS
20.0,13.37,23,0,0,BENIGN
76.35,14.31,292,1,1,MALICIOUS
42.98,54.41,165,13,0,BENIGN
92.17,22.98,153,7,1,MALICIOUS
14.15,15.85,54,0,0,BENIGN
47.75,22.15,219,2,3,MALICIOUS
47.11,27.78,156,4,3,MALICIOUS
94.52,50.82,176,1,4,MALICIOUS
22.96,14.65,38,1,0,BENIGN
88.72,31.21,212,0,0,BENIGN
9.13,15.48,47,0,0,BENIGN
93.36,36.46,214,5,1,MALICIOUS
10.29,24.49,36,0,0,BENIGN
46.16,16.86,215,4,2,MALICIOUS
4.92,6.49,15,0,0,BENIGN
9.1,29.88,135,0,0,BENIGN
80.6,39.06,183,2,1,MALICIOUS
75.98,14.22,12,4,0,BENIGN
67.96,29.55,64,15,0,BENIGN
12.5,10.52,80,0,0,BENIGN
5.85,16.87,32,2,0,BENIGN
4.15,16.63,56,2,0,BENIGN
11.87,28.9,126,1,0,BENIGN
0.48,13.05,118,0,0,BENIGN
29.05,32.44,91,6,0,BENIGN
92.86,13.66,96,5,1,MALICIOUS
4.53,25.57,46,0,0,BENIGN
1.66,3.47,116,0,0,BENIGN
83.75,39.73,84,4,3,MALICIOUS
3.29,0.27,100,3,0,BENIGN
21.34,26.89,111,2,0,BENIGN
81.5,15.01,172,5,4,MALICIOUS
55.09,18.83,33,0,0,BENIGN
0.13,26.55,93,2,0,BENIGN
5.4,4.27,38,2,0,BENIGN
3.17,29.83,68,4,0,BENIGN
74.69,18.41,167,4,1,MALICIOUS
4.99,4.32,136,0,0,BENIGN
10.68,12.83,155,9,0,BENIGN
29.71,20.9,103,0,0,BENIGN
49.91,42.93,185,0,0,BENIGN
94.52,35.29,171,4,3,MALICIOUS
78.44,36.17,90,4,1,MALICIOUS
60.55,28.27,111,0,0,BENIGN
60.99,46.2,200,1,0,BENIGN
1.06,4.29,75,0,0,BENIGN
1.6,5.57,52,0,0,BENIGN
85.21,38.24,87,7,3,MALICIOUS
81.21,28.01,269,4,4,MALICIOUS
3.33,22.56,23,3,0,BENIGN
56.62,38.15,298,5,2,MALICIOUS
94.99,6.62,114,2,4,MALICIOUS
7.34,17.12,121,2,0,BENIGN
1.2,9.78,82,0,0,BENIGN
7.38,9.06,70,0,0,BENIGN
76.98,42.64,75,2,1,MALICIOUS
71.29,17.35,141,2,0,BENIGN
88.46,21.17,143,2,4,MALICIOUS
4.53,15.9,75,0,0,BENIGN
29.68,21.64,129,5,0,BENIGN
52.28,18.39,209,7,0,BENIGN
0.63,18.8,93,0,0,BENIGN
62.19,36.11,72,2,3,MALICIOUS
45.24,15.94,20,0,0,BENIGN
94.06,12.29,309,5,3,MALICIOUS
88.56,34.41,212,9,0,BENIGN
94.78,53.69,186,3,3,MALICIOUS
9.7,13.88,94,0,0,BENIGN
2.43,12.96,60,1,0,BENIGN
91.35,33.17,201,1,4,MALICIOUS
80.39,23.94,122,8,3,MALICIOUS
15.45,5.96,123,1,0,BENIGN
3.01,4.6,51,4,0,BENIGN
0.95,18.06,44,3,0,BENIGN
8.28,18.83,139,2,0,BENIGN
94.83,18.83,25,0,0,BENIGN
75.19,27.28,73,2,3,MALICIOUS
1.84,12.94,37,1,0,BENIGN
0.81,17.25,64,2,0,BENIGN
34.04,16.81,44,0,0,BENIGN
1.14,20.29,15,3,0,BENIGN
20.31,3.82,61,2,0,BENIGN
90.59,22.98,143,4,4,MALICIOUS
3.07,10.58,58,4,0,BENIGN
99.8,42.51,83,1,3,MALICIOUS
81.79,17.41,132,2,3,MALICIOUS
63.45,51.99,76,1,0,BENIGN
0.25,22.0,110,1,0,BENIGN
89.5,31.71,73,8,3,MALICIOUS
82.31,19.7,132,2,1,MALICIOUS
81.64,17.3,191,2,0,BENIGN
26.94,23.54,134,0,0,BENIGN
50.95,22.11,34,0,0,BENIGN
54.78,49.46,50,11,0,BENIGN
96.09,52.34,222,6,3,MALICIOUS
78.41,19.66,110,5,0,BENIGN
7.83,24.74,106,2,0,BENIGN
82.19,32.09,190,9,0,BENIGN
84.58,29.03,91,1,0,BENIGN
43.66,19.88,102,1,0,BENIGN
52.25,22.28,216,1,0,BENIGN
23.99,14.88,56,2,0,BENIGN
12.83,24.96,33,0,0,BENIGN
91.7,40.41,79,3,0,BENIGN
81.88,9.04,131,5,4,MALICIOUS
5.65,20.58,58,7,0,BENIGN
30.31,11.35,82,0,0,BENIGN
4.09,9.23,81,1,0,BENIGN
0.15,10.64,27,0,0,BENIGN
23.85,3.24,87,1,0,BENIGN
52.41,7.14,35,0,0,BENIGN
79.22,40.44,140,6,3,MALICIOUS
60.81,17.16,208,1,3,MALICIOUS
3.66,4.6,64,1,0,BENIGN
17.76,10.98,102,0,0,BENIGN
33.97,8.25,133,0,0,BENIGN
56.44,37.39,65,1,3,MALICIOUS
20.5,3.36,71,0,0,BENIGN
4.08,22.0,91,0,0,BENIGN
77.07,29.35,97,6,3,MALICIOUS
1.62,0.94,126,0,0,BENIGN
75.17,27.26,67,7,4,MALICIOUS
47.79,9.49,126,4,0,BENIGN
18.79,27.81,15,0,0,BENIGN
2.05,3.8,20,2,0,BENIGN
6.89,17.62,112,1,0,BENIGN
25.82,13.67,22,1,0,BENIGN
47.35,12.52,108,1,3,MALICIOUS
72.79,41.55,188,5,0,BENIGN
80.25,22.43,179,0,0,BENIGN
91.48,21.75,166,2,2,MALICIOUS
2.13,20.02,105,4,0,BENIGN
33.3,21.44,80,0,0,BENIGN
3.7,23.76,30,0,0,BENIGN
93.68,10.31,213,8,1,MALICIOUS
91.24,48.49,153,4,0,BENIGN
68.57,33.0,183,3,0,BENIGN
92.86,27.65,340,2,2,MALICIOUS
23.98,25.07,169,9,0,BENIGN
2.21,25.83,119,0,0,BENIGN
44.13,17.64,127,2,2,MALICIOUS
14.32,6.77,24,0,0,BENIGN
53.17,56.93,167,4,0,BENIGN
9.51,1.58,131,1,0,BENIGN
26.84,27.28,87,0,0,BENIGN
95.72,61.71,147,2,0,BENIGN
91.19,15.64,59,0,0,BENIGN
48.52,43.89,202,2,0,BENIGN
1.31,1.39,25,4,0,BENIGN
71.95,40.43,303,4,4,MALICIOUS
3.96,17.93,83,0,0,BENIGN
83.57,19.09,93,4,4,MALICIOUS
81.23,22.77,159,6,3,MALICIOUS
52.23,8.91,143,2,1,MALICIOUS
11.67,6.07,122,2,0,BENIGN
3.94,3.42,19,2,0,BENIGN
72.79,37.73,180,5,2,MALICIOUS
25.2,17.62,105,0,0,BENIGN
72.08,16.97,218,2,3,MALICIOUS
81.12,12.41,77,6,3,MALICIOUS
4.17,29.41,72,0,0,BENIGN
77.33,30.6,67,3,1,MALICIOUS
0.89,17.96,124,3,0,BENIGN
15.31,21.79,17,2,0,BENIGN
8.72,22.18,74,5,0,BENIGN
5.44,19.68,70,0,0,BENIGN
68.63,23.63,50,0,0,BENIGN
0.99,22.8,30,4,0,BENIGN
2.56,14.18,94,0,0,BENIGN
21.81,6.97,127,2,0,BENIGN
96.49,23.53,276,2,4,MALICIOUS
87.62,32.74,178,7,4,MALICIOUS
77.84,24.81,123,1,1,MALICIOUS
15.69,12.54,124,0,0,BENIGN
86.28,20.19,72,3,2,MALICIOUS
70.72,45.28,104,4,0,BENIGN
28.56,13.85,45,11,0,BENIGN
1.9,25.03,137,0,0,BENIGN
1.07,14.3,53,3,0,BENIGN
7.95,9.12,87,2,0,BENIGN
23.73,15.77,117,0,0,BENIGN
82.64,33.9,227,8,1,MALICIOUS
3.01,22.85,29,0,0,BENIGN
6.92,17.61,30,4,0,BENIGN
98.9,4.67,233,1,3,MALICIOUS
94.87,39.95,158,4,0,BENIGN
79.73,10.82,194,2,4,MALICIOUS
55.18,18.13,71,1,2,MALICIOUS
1.8,9.21,42,0,0,BENIGN
1.73,14.08,63,0,0,BENIGN
80.27,24.71,103,5,3,MALICIOUS
92.02,43.57,177,8,3,MALICIOUS
99.41,14.91,195,5,2,MALICIOUS
2.59,4.69,77,0,0,BENIGN
74.85,8.35,77,0,0,BENIGN
85.68,31.74,121,3,4,MALICIOUS
3.57,7.19,95,0,0,BENIGN
33.49,6.14,15,2,0,BENIGN
1.44,21.48,98,3,0,BENIGN
92.92,27.8,19,0,0,BENIGN
6.34,13.9,65,2,0,BENIGN
75.48,34.88,120,0,0,BENIGN
3.87,22.04,127,3,0,BENIGN
13.91,16.52,200,6,0,BENIGN
21.95,2.03,131,0,0,BENIGN
4.17,5.99,56,1,0,BENIGN
2.99,20.63,107,0,0,BENIGN
96.21,41.33,313,4,1,MALICIOUS
6.23,14.23,23,2,0,BENIGN
97.83,25.62,102,5,4,MALICIOUS
4.26,6.62,58,1,0,BENIGN
75.59,8.97,178,1,3,MALICIOUS
26.39,19.3,80,2,0,BENIGN
15.27,4.83,96,0,0,BENIGN
6.66,28.57,67,1,0,BENIGN
92.38,33.54,333,8,2,MALICIOUS
7.96,17.02,83,3,0,BENIGN
10.41,22.08,35,2,0,BENIGN
30.6,19.6,65,0,0,BENIGN
27.52,19.99,180,6,0,BENIGN
93.39,29.0,112,1,1,MALICIOUS
1.9,23.09,95,0,0,BENIGN
