cpu_percent,memory_percent,cmdline_length,network_connections_count,suspicious_keyword_count,label
15.27,4.83,96,0,0,BENIGN
94.55,39.72,174,1,2,MALICIOUS
12.42,13.98,79,2,0,BENIGN
5.85,8.4,67,0,0,BENIGN
4.31,16.6,22,1,0,BENIGN
78.05,36.28,115,7,1,MALICIOUS
3.54,1.95,27,3,0,BENIGN
0.33,27.41,90,0,0,BENIGN
70.15,41.95,160,6,4,MALICIOUS
81.97,15.42,95,5,3,MALICIOUS
2.11,8.5,73,1,0,BENIGN
30.56,2.24,27,2,0,BENIGN
21.68,27.97,36,2,0,BENIGN
8.53,26.57,78,3,0,BENIGN
1.78,20.17,28,2,0,BENIGN
0.56,11.02,88,0,0,BENIGN
1.79,10.45,77,4,0,BENIGN
29.04,3.46,59,0,0,BENIGN
87.46,10.07,125,1,3,MALICIOUS
96.24,14.71,195,1,1,MALICIOUS
26.94,23.54,134,0,0,BENIGN
4.84,17.46,25,1,0,BENIGN
0.55,18.9,118,0,0,BENIGN
22.0,9.63,76,0,0,BENIGN
12.24,11.99,86,0,0,BENIGN
31.48,17.37,72,4,0,BENIGN
26.17,1.57,68,1,0,BENIGN
90.43,31.34,241,7,2,MALICIOUS
1.33,28.01,27,3,0,BENIGN
0.48,13.05,118,0,0,BENIGN
94.81,5.81,230,3,3,MALICIOUS
77.98,40.48,139,5,3,MALICIOUS
2.17,13.72,77,2,0,BENIGN
95.69,13.12,295,6,3,MALICIOUS
33.93,27.88,61,4,0,BENIGN
86.43,4.02,206,4,4,MALICIOUS
4.42,19.36,46,0,0,BENIGN
74.92,22.12,278,1,1,MALICIOUS
2.95,24.32,11,2,0,BENIGN
2.98,14.15,74,1,0,BENIGN
54.59,23.57,126,0,0,BENIGN
87.66,11.53,126,3,0,BENIGN
82.09,16.12,125,4,4,MALICIOUS
34.2,11.48,85,3,0,BENIGN
90.95,25.49,52,0,0,BENIGN
81.58,27.64,190,1,4,MALICIOUS
72.34,40.21,136,1,3,MALICIOUS
91.47,0.48,35,0,0,BENIGN
89.91,19.54,149,5,4,MALICIOUS
4.99,4.32,136,0,0,BENIGN
1.69,17.73,68,0,0,BENIGN
2.38,27.6,50,0,0,BENIGN
75.74,13.26,125,0,0,BENIGN
2.19,16.39,87,1,0,BENIGN
2.38,16.58,77,0,0,BENIGN
4.71,17.18,20,4,0,BENIGN
87.88,18.17,220,7,1,MALICIOUS
80.97,42.26,80,6,2,MALICIOUS
30.3,23.32,68,3,0,BENIGN
42.98,19.67,35,0,0,BENIGN
72.19,31.23,229,6,1,MALICIOUS
97.69,13.71,143,3,4,MALICIOUS
89.22,20.39,229,1,1,MALICIOUS
4.32,27.09,52,0,0,BENIGN
1.19,20.14,64,0,0,BENIGN
3.7,16.45,118,0,0,BENIGN
77.58,41.23,86,2,4,MALICIOUS
0.81,28.61,10,0,0,BENIGN
1.16,18.14,60,4,0,BENIGN
2.84,2.55,134,2,0,BENIGN
8.28,18.83,139,2,0,BENIGN
70.84,34.2,230,7,2,MALICIOUS
91.55,16.31,218,7,3,MALICIOUS
2.81,8.03,119,4,0,BENIGN
88.12,33.42,164,5,4,MALICIOUS
